,url,address,neighborhood,rent,beds,baths,zip
46,https://www.renthop.com/listings/e-15th-st/3r/...,E 15th St,"Gramercy Park, Midtown Manhattan, Manhattan",6000,2,1.0,
47,https://www.renthop.com/listings/west-60s/1608...,West 60's,"Lincoln Square, Upper West Side, Upper Manhatt...",6890,3,2.0,
48,https://www.renthop.com/listings/harrison-stre...,Harrison Street,"Tribeca, Downtown Manhattan, Manhattan",6695,4,2.0,
49,https://www.renthop.com/listings/washington-st...,Washington St.,"DUMBO, Northwestern Brooklyn, Brooklyn",3643,1,1.0,
50,https://www.renthop.com/listings/cpw/4s/12963319,Cpw,"Lincoln Square, Upper West Side, Upper Manhatt...",20000,5,4.5,
51,https://www.renthop.com/listings/e-17th-st/0/1...,E 17th St.,"Flatiron District, Midtown Manhattan, Manhattan",10000,5,2.0,
52,https://www.renthop.com/listings/center-blvd/n...,Center Blvd,"Hunters Point, Long Island City, Northwestern ...",2235,0,1.0,
53,https://www.renthop.com/listings/gold-street/n...,Gold Street,"Downtown Brooklyn, Northwestern Brooklyn, Broo...",3250,1,1.0,
54,https://www.renthop.com/listings/east-76th-str...,East 76th Street,"Upper East Side, Upper Manhattan, Manhattan",2800,1,1.0,
55,https://www.renthop.com/listings/east-2nd-stre...,East 2nd Street,"Alphabet City, East Village, Downtown Manhatta...",3095,1,1.0,
56,https://www.renthop.com/listings/e-87th-st/12b...,E 87th St.,"Yorkville, Upper East Side, Upper Manhattan, M...",7000,3,2.0,
57,https://www.renthop.com/listings/east-2nd-stre...,East 2nd Street,"Alphabet City, East Village, Downtown Manhatta...",3250,0,1.0,
58,https://www.renthop.com/listings/orchard-stree...,Orchard Street,"Lower East Side, Downtown Manhattan, Manhattan",3438,2,1.0,
59,https://www.renthop.com/listings/kent-avenue/1...,Kent Avenue,"Williamsburg, Northern Brooklyn, Brooklyn",4825,2,2.0,
