url,address,neighborhood,rent,beds,baths
https://www.renthop.com/listings/e-63rd-st/416...,E 63rd St.,"Upper East Side, Upper Manhattan, Manhattan","$5,500.00",2_Bed,1_Bath
https://www.renthop.com/listings/steinway-stre...,Steinway Street,"Steinway, Astoria, Northwestern Queens, Queens","$2,600.00",2_Bed,1_Bath
https://www.renthop.com/listings/10th-ave/29/1...,10th Ave.,"Hell's Kitchen, Midtown Manhattan, Manhattan","$6,000.00",4_Bed,2_Bath
https://www.renthop.com/listings/e-15th-st/3r/...,E 15th St,"Gramercy Park, Midtown Manhattan, Manhattan","$6,000.00",2_Bed,1_Bath
https://www.renthop.com/listings/west-60s/1608...,West 60's,"Lincoln Square, Upper West Side, Upper Manhatt...","$6,890.00",3_Bed,2_Bath
https://www.renthop.com/listings/harrison-stre...,Harrison Street,"Tribeca, Downtown Manhattan, Manhattan","$6,695.00",4_Bed,2_Bath
https://www.renthop.com/listings/washington-st...,Washington St.,"DUMBO, Northwestern Brooklyn, Brooklyn","$3,643.00",1_Bed,1_Bath
https://www.renthop.com/listings/cpw/4s/12963319,Cpw,"Lincoln Square, Upper West Side, Upper Manhatt...","$20,000.00",5_Bed,4.5_Bath
https://www.renthop.com/listings/e-17th-st/0/1...,E 17th St.,"Flatiron District, Midtown Manhattan, Manhattan","$10,000.00",5_Bed,2_Bath
https://www.renthop.com/listings/center-blvd/n...,Center Blvd,"Hunters Point, Long Island City, Northwestern ...","$2,235.00",Studio,1_Bath
https://www.renthop.com/listings/gold-street/n...,Gold Street,"Downtown Brooklyn, Northwestern Brooklyn, Broo...","$3,250.00",1_Bed,1_Bath
https://www.renthop.com/listings/east-76th-str...,East 76th Street,"Upper East Side, Upper Manhattan, Manhattan","$2,800.00",1_Bed,1_Bath
https://www.renthop.com/listings/east-2nd-stre...,East 2nd Street,"Alphabet City, East Village, Downtown Manhatta...","$3,095.00",1_Bed,1_Bath
https://www.renthop.com/listings/e-87th-st/12b...,E 87th St.,"Yorkville, Upper East Side, Upper Manhattan, M...","$7,000.00",3_Bed,2_Bath
https://www.renthop.com/listings/east-2nd-stre...,East 2nd Street,"Alphabet City, East Village, Downtown Manhatta...","$3,250.00",Studio,1_Bath
https://www.renthop.com/listings/orchard-stree...,Orchard Street,"Lower East Side, Downtown Manhattan, Manhattan","$3,438.00",2_Bed,1_Bath
https://www.renthop.com/listings/kent-avenue/1...,Kent Avenue,"Williamsburg, Northern Brooklyn, Brooklyn","$4,825.00",2_Bed,2_Bath
